ID,Req. Timestamp,Resp. Timestamp,Method,URL,Code,Reason,RTT,Size Resp. Header,Size Resp. Body
139,Tue Dec 16 18:36:04 CET 2025,Tue Dec 16 18:36:04 CET 2025,GET,http://localhost:4000/1390325756888708202,404,Not Found,8,667,158
141,Tue Dec 16 18:36:04 CET 2025,Tue Dec 16 18:36:04 CET 2025,GET,http://localhost:4000/WEB-INF/web.xml,404,Not Found,7,667,154
142,Tue Dec 16 18:36:04 CET 2025,Tue Dec 16 18:36:04 CET 2025,GET,http://localhost:4000/WEB-INF/applicationContext.xml,404,Not Found,0,667,169
143,Tue Dec 16 18:36:04 CET 2025,Tue Dec 16 18:36:04 CET 2025,GET,http://localhost:4000/WEB-INF/classes/web/xml.class,404,Not Found,8,667,168
144,Tue Dec 16 18:36:04 CET 2025,Tue Dec 16 18:36:04 CET 2025,GET,http://localhost:4000/WEB-INF/classes/applicationContext/xml.class,404,Not Found,0,667,183
145,Tue Dec 16 18:36:04 CET 2025,Tue Dec 16 18:36:04 CET 2025,GET,http://localhost:4000/?-s,200,OK,8,932,8
146,Tue Dec 16 18:36:04 CET 2025,Tue Dec 16 18:36:04 CET 2025,POST,http://localhost:4000/?-d+allow_url_include%3d1+-d+auto_prepend_file%3dphp://input,404,Not Found,8,667,140
147,Tue Dec 16 18:36:04 CET 2025,Tue Dec 16 18:36:04 CET 2025,POST,http://localhost:4000/sitemap.xml?-d+allow_url_include%3d1+-d+auto_prepend_file%3dphp://input,404,Not Found,8,667,151
148,Tue Dec 16 18:36:04 CET 2025,Tue Dec 16 18:36:04 CET 2025,POST,http://localhost:4000/robots.txt?-d+allow_url_include%3d1+-d+auto_prepend_file%3dphp://input,404,Not Found,16,667,150
149,Tue Dec 16 18:36:04 CET 2025,Tue Dec 16 18:36:04 CET 2025,POST,http://localhost:4000/?-d+allow_url_include%3d1+-d+auto_prepend_file%3dphp://input,404,Not Found,8,667,140
150,Tue Dec 16 18:36:04 CET 2025,Tue Dec 16 18:36:04 CET 2025,POST,http://localhost:4000/sitemap.xml?-d+allow_url_include%3d1+-d+auto_prepend_file%3dphp://input,404,Not Found,0,667,151
151,Tue Dec 16 18:36:04 CET 2025,Tue Dec 16 18:36:04 CET 2025,POST,http://localhost:4000/robots.txt?-d+allow_url_include%3d1+-d+auto_prepend_file%3dphp://input,404,Not Found,8,667,150
152,Tue Dec 16 18:36:04 CET 2025,Tue Dec 16 18:36:04 CET 2025,GET,http://localhost:4000,200,OK,0,932,8
153,Tue Dec 16 18:36:04 CET 2025,Tue Dec 16 18:36:04 CET 2025,GET,http://localhost:4000/robots.txt,404,Not Found,0,667,149
154,Tue Dec 16 18:36:04 CET 2025,Tue Dec 16 18:36:04 CET 2025,GET,http://localhost:4000/sitemap.xml,404,Not Found,8,667,150
155,Tue Dec 16 18:36:04 CET 2025,Tue Dec 16 18:36:04 CET 2025,GET,http://localhost:4000?class.module.classLoader.DefaultAssertionStatus=nonsense,400,Bad Request,0,47,0
156,Tue Dec 16 18:36:04 CET 2025,Tue Dec 16 18:36:04 CET 2025,GET,http://localhost:4000/robots.txt?class.module.classLoader.DefaultAssertionStatus=nonsense,404,Not Found,8,667,149
157,Tue Dec 16 18:36:04 CET 2025,Tue Dec 16 18:36:05 CET 2025,GET,http://localhost:4000?aaa=bbb,400,Bad Request,3,47,0
158,Tue Dec 16 18:36:04 CET 2025,Tue Dec 16 18:36:05 CET 2025,GET,http://localhost:4000/sitemap.xml?class.module.classLoader.DefaultAssertionStatus=nonsense,404,Not Found,10,667,150
159,Tue Dec 16 18:36:05 CET 2025,Tue Dec 16 18:36:05 CET 2025,POST,http://localhost:4000/robots.txt,404,Not Found,3,667,150
160,Tue Dec 16 18:36:05 CET 2025,Tue Dec 16 18:36:05 CET 2025,POST,http://localhost:4000,404,Not Found,6,667,140
161,Tue Dec 16 18:36:05 CET 2025,Tue Dec 16 18:36:05 CET 2025,POST,http://localhost:4000/sitemap.xml,404,Not Found,6,667,151
162,Tue Dec 16 18:36:05 CET 2025,Tue Dec 16 18:36:05 CET 2025,POST,http://localhost:4000,404,Not Found,2,667,140
163,Tue Dec 16 18:36:05 CET 2025,Tue Dec 16 18:36:05 CET 2025,GET,http://localhost:4000/latest/meta-data/,404,Not Found,0,667,156
164,Tue Dec 16 18:36:05 CET 2025,Tue Dec 16 18:36:05 CET 2025,GET,http://localhost:4000/latest/meta-data/,404,Not Found,0,667,156
165,Tue Dec 16 18:36:05 CET 2025,Tue Dec 16 18:36:05 CET 2025,GET,http://localhost:4000/computeMetadata/v1/,404,Not Found,0,667,158
166,Tue Dec 16 18:36:05 CET 2025,Tue Dec 16 18:36:05 CET 2025,GET,http://localhost:4000/computeMetadata/v1/,404,Not Found,8,667,158
167,Tue Dec 16 18:36:05 CET 2025,Tue Dec 16 18:36:05 CET 2025,GET,http://localhost:4000/opc/v1/instance/,404,Not Found,0,667,155
168,Tue Dec 16 18:36:05 CET 2025,Tue Dec 16 18:36:05 CET 2025,GET,http://localhost:4000/opc/v1/instance/,404,Not Found,8,667,155
169,Tue Dec 16 18:36:05 CET 2025,Tue Dec 16 18:36:05 CET 2025,GET,http://localhost:4000/latest/meta-data/,404,Not Found,0,667,156
170,Tue Dec 16 18:36:05 CET 2025,Tue Dec 16 18:36:05 CET 2025,GET,http://localhost:4000/latest/meta-data/,404,Not Found,0,667,156
171,Tue Dec 16 18:36:05 CET 2025,Tue Dec 16 18:36:05 CET 2025,GET,http://localhost:4000/metadata/instance,404,Not Found,8,667,156
172,Tue Dec 16 18:36:05 CET 2025,Tue Dec 16 18:36:05 CET 2025,GET,http://localhost:4000/,200,OK,8,932,8
173,Tue Dec 16 18:36:05 CET 2025,Tue Dec 16 18:36:05 CET 2025,GET,http://localhost:4000/robots.txt/,404,Not Found,0,667,150
